1719544144327,Roll	-40.78	Pitch	1.28,Encoder1: 360.00, Encoder2: 174.51
1719544144361,Gyro data ready!Roll: -41.03	Pitch: 1.29,Encoder1: 360.00, Encoder2: 174.24
1719544144401,Roll	-41.03	Pitch	1.29,Encoder1: 360.00, Encoder2: 175.74
1719544144442,Gyro data ready!Roll: -41.29	Pitch: 1.30,Encoder1: 360.00, Encoder2: 176.44
1719544144474,Roll	-41.29	Pitch	1.30,Encoder1: 360.00, Encoder2: 175.91
1719544144517,Gyro data ready!Roll: -41.55	Pitch: 1.31,Encoder1: 360.00, Encoder2: 176.79
1719544144555,Roll	-41.55	Pitch	1.31,Encoder1: 360.00, Encoder2: 175.56
1719544144588,Gyro data ready!Roll: -41.80	Pitch: 1.32,Encoder1: 360.00, Encoder2: 176.88
1719544144630,Roll	-41.80	Pitch	1.32,Encoder1: 360.00, Encoder2: 177.05
1719544144662,Gyro data ready!Roll: -42.06	Pitch: 1.32,Encoder1: 360.00, Encoder2: 174.86
1719544144702,Roll	-42.06	Pitch	1.32,Encoder1: 360.00, Encoder2: 179.96
1719544144736,Gyro data ready!Roll: -42.31	Pitch: 1.33,Encoder1: 360.00, Encoder2: 181.19
1719544144777,Roll	-42.31	Pitch	1.33,Encoder1: 360.00, Encoder2: 181.36
1719544144810,Gyro data ready!Roll: -42.57	Pitch: 1.34,Encoder1: 360.00, Encoder2: 185.05
1719544144851,Roll	-42.57	Pitch	1.34,Encoder1: 360.00, Encoder2: 185.49
1719544144891,Gyro data ready!Roll: -42.83	Pitch: 1.34,Encoder1: 360.00, Encoder2: 186.81
1719544144925,Roll	-42.83	Pitch	1.34,Encoder1: 360.00, Encoder2: 198.86
1719544144965,Gyro data ready!Roll: -43.07	Pitch: 1.35,Encoder1: 360.00, Encoder2: 199.74
1719544144998,Roll	-43.07	Pitch	1.35,Encoder1: 360.00, Encoder2: 198.59
1719544145039,Gyro data ready!Roll: -43.31	Pitch: 1.37,Encoder1: 360.00, Encoder2: 197.71
1719544145073,Roll	-43.31	Pitch	1.37,Encoder1: 360.00, Encoder2: 204.57
1719544145113,Gyro data ready!Roll: -43.55	Pitch: 1.37,Encoder1: 360.00, Encoder2: 206.77
1719544145154,Roll	-43.55	Pitch	1.37,Encoder1: 360.00, Encoder2: 206.59
1719544145187,Gyro data ready!Roll: -43.80	Pitch: 1.38,Encoder1: 360.00, Encoder2: 213.01
1719544145227,Roll	-43.80	Pitch	1.38,Encoder1: 360.00, Encoder2: 214.33
1719544145260,Gyro data ready!Roll: -44.05	Pitch: 1.39,Encoder1: 360.00, Encoder2: 212.75
1719544145303,Roll	-44.05	Pitch	1.39,Encoder1: 360.00, Encoder2: 219.34
1719544145341,Gyro data ready!Roll: -44.30	Pitch: 1.40,Encoder1: 360.00, Encoder2: 221.01
1719544145375,Roll	-44.30	Pitch	1.40,Encoder1: 360.00, Encoder2: 220.84
1719544145415,Gyro data ready!Roll: -44.55	Pitch: 1.41,Encoder1: 360.00, Encoder2: 222.24
1719544145451,Roll	-44.55	Pitch	1.41,Encoder1: 360.00, Encoder2: 227.34
1719544145489,Gyro data ready!Roll: -44.79	Pitch: 1.41,Encoder1: 360.00, Encoder2: 229.54
1719544145522,Roll	-44.79	Pitch	1.41,Encoder1: 360.00, Encoder2: 224.97
1719544145563,Gyro data ready!Roll: -45.02	Pitch: 1.42,Encoder1: 360.00, Encoder2: 232.53
1719544145604,Roll	-45.02	Pitch	1.42,Encoder1: 360.00, Encoder2: 232.88
1719544145640,Gyro data ready!Roll: -45.26	Pitch: 1.43,Encoder1: 360.00, Encoder2: 232.09
1719544145679,Roll	-45.26	Pitch	1.43,Encoder1: 360.00, Encoder2: 240.35
1719544145712,Gyro data ready!Roll: -45.50	Pitch: 1.43,Encoder1: 360.00, Encoder2: 239.03
1719544145752,Roll	-45.50	Pitch	1.43,Encoder1: 360.00, Encoder2: 240.44
1719544145784,Gyro data ready!Roll: -45.74	Pitch: 1.44,Encoder1: 360.00, Encoder2: 241.05
1719544145826,Roll	-45.74	Pitch	1.44,Encoder1: 360.00, Encoder2: 240.88
1719544145866,Gyro data ready!Roll: -45.98	Pitch: 1.45,Encoder1: 360.00, Encoder2: 241.41
1719544145899,Roll	-45.98	Pitch	1.45,Encoder1: 360.00, Encoder2: 241.14
1719544145940,Gyro data ready!Roll: -46.23	Pitch: 1.46,Encoder1: 360.00, Encoder2: 245.89
1719544145972,Roll	-46.23	Pitch	1.46,Encoder1: 360.00, Encoder2: 245.54
1719544146013,Gyro data ready!Roll: -46.47	Pitch: 1.47,Encoder1: 360.00, Encoder2: 244.57
1719544146055,Roll	-46.47	Pitch	1.47,Encoder1: 360.00, Encoder2: 245.54
1719544146086,Gyro data ready!Roll: -46.70	Pitch: 1.48,Encoder1: 360.00, Encoder2: 249.14
1719544146128,Roll	-46.70	Pitch	1.48,Encoder1: 360.00, Encoder2: 245.19
1719544146163,Gyro data ready!Roll: -46.93	Pitch: 1.49,Encoder1: 360.00, Encoder2: 249.41
1719544146205,Roll	-46.93	Pitch	1.49,Encoder1: 360.00, Encoder2: 248.26
1719544146236,Gyro data ready!Roll: -47.15	Pitch: 1.49,Encoder1: 360.00, Encoder2: 248.97
1719544146277,Roll	-47.15	Pitch	1.49,Encoder1: 360.00, Encoder2: 248.62
1719544146312,Gyro data ready!Roll: -47.37	Pitch: 1.49,Encoder1: 360.00, Encoder2: 249.58
1719544146352,Roll	-47.37	Pitch	1.49,Encoder1: 360.00, Encoder2: 250.37
1719544146392,Gyro data ready!Roll: -47.61	Pitch: 1.50,Encoder1: 360.00, Encoder2: 249.23
1719544146424,Roll	-47.61	Pitch	1.50,Encoder1: 360.00, Encoder2: 252.40
1719544146465,Gyro data ready!Roll: -47.86	Pitch: 1.50,Encoder1: 360.00, Encoder2: 254.59
1719544146498,Roll	-47.86	Pitch	1.50,Encoder1: 360.00, Encoder2: 254.51
1719544146538,Gyro data ready!Roll: -48.10	Pitch: 1.52,Encoder1: 360.00, Encoder2: 256.97
1719544146578,Roll	-48.10	Pitch	1.52,Encoder1: 360.00, Encoder2: 257.32
1719544146612,Gyro data ready!Roll: -48.31	Pitch: 1.53,Encoder1: 360.00, Encoder2: 255.03
1719544146653,Roll	-48.31	Pitch	1.53,Encoder1: 360.00, Encoder2: 258.99
1719544146691,Gyro data ready!Roll: -48.53	Pitch: 1.54,Encoder1: 360.00, Encoder2: 260.31
1719544146725,Roll	-48.53	Pitch	1.54,Encoder1: 360.00, Encoder2: 260.84
1719544146766,Gyro data ready!Roll: -48.76	Pitch: 1.55,Encoder1: 360.00, Encoder2: 258.73
1719544146800,Roll	-48.76	Pitch	1.55,Encoder1: 360.00, Encoder2: 260.22
1719544146840,Gyro data ready!Roll: -48.98	Pitch: 1.54,Encoder1: 360.00, Encoder2: 261.89
1719544146880,Roll	-48.98	Pitch	1.54,Encoder1: 360.00, Encoder2: 263.47
1719544146912,Gyro data ready!Roll: -49.19	Pitch: 1.55,Encoder1: 360.00, Encoder2: 264.09
1719544146953,Roll	-49.19	Pitch	1.55,Encoder1: 360.00, Encoder2: 265.58
1719544146989,Gyro data ready!Roll: -49.42	Pitch: 1.55,Encoder1: 360.00, Encoder2: 261.19
1719544147028,Roll	-49.42	Pitch	1.55,Encoder1: 360.00, Encoder2: 265.85
1719544147062,Gyro data ready!Roll: -49.65	Pitch: 1.56,Encoder1: 360.00, Encoder2: 266.29
1719544147103,Roll	-49.65	Pitch	1.56,Encoder1: 360.00, Encoder2: 265.58
1719544147135,Gyro data ready!Roll: -49.88	Pitch: 1.57,Encoder1: 360.00, Encoder2: 266.90
1719544147178,Roll	-49.88	Pitch	1.57,Encoder1: 360.00, Encoder2: 265.76
1719544147214,Gyro data ready!Roll: -50.09	Pitch: 1.59,Encoder1: 360.00, Encoder2: 265.85
1719544147255,Roll	-50.09	Pitch	1.59,Encoder1: 360.00, Encoder2: 266.29
1719544147292,Gyro data ready!Roll: -50.31	Pitch: 1.60,Encoder1: 360.00, Encoder2: 269.98
1719544147325,Roll	-50.31	Pitch	1.60,Encoder1: 360.00, Encoder2: 266.02
1719544147365,Gyro data ready!Roll: -50.53	Pitch: 1.60,Encoder1: 360.00, Encoder2: 272.44
1719544147398,Roll	-50.53	Pitch	1.60,Encoder1: 360.00, Encoder2: 269.10
1719544147442,Gyro data ready!Roll: -50.74	Pitch: 1.59,Encoder1: 360.00, Encoder2: 272.97
1719544147479,Roll	-50.74	Pitch	1.59,Encoder1: 360.00, Encoder2: 268.57
1719544147517,Gyro data ready!Roll: -50.94	Pitch: 1.60,Encoder1: 360.00, Encoder2: 271.03
1719544147554,Roll	-50.94	Pitch	1.60,Encoder1: 360.00, Encoder2: 271.03
1719544147590,Gyro data ready!Roll: -51.16	Pitch: 1.61,Encoder1: 360.00, Encoder2: 272.09
1719544147624,Roll	-51.16	Pitch	1.61,Encoder1: 360.00, Encoder2: 271.38
1719544147663,Gyro data ready!Roll: -51.40	Pitch: 1.62,Encoder1: 360.00, Encoder2: 276.57
1719544147703,Roll	-51.40	Pitch	1.62,Encoder1: 360.00, Encoder2: 271.47
1719544147737,Gyro data ready!Roll: -51.61	Pitch: 1.63,Encoder1: 360.00, Encoder2: 273.76
1719544147776,Roll	-51.61	Pitch	1.63,Encoder1: 360.00, Encoder2: 272.00
1719544147817,Gyro data ready!Roll: -51.81	Pitch: 1.65,Encoder1: 360.00, Encoder2: 274.46
1719544147854,Roll	-51.81	Pitch	1.65,Encoder1: 360.00, Encoder2: 274.20
1719544147892,Gyro data ready!Roll: -52.02	Pitch: 1.65,Encoder1: 360.00, Encoder2: 271.47
1719544147925,Roll	-52.02	Pitch	1.65,Encoder1: 360.00, Encoder2: 274.90
1719544147965,Gyro data ready!Roll: -52.23	Pitch: 1.64,Encoder1: 360.00, Encoder2: 275.43
1719544148005,Roll	-52.23	Pitch	1.64,Encoder1: 360.00, Encoder2: 276.22
1719544148042,Gyro data ready!Roll: -52.43	Pitch: 1.64,Encoder1: 360.00, Encoder2: 272.97
1719544148078,Roll	-52.43	Pitch	1.64,Encoder1: 360.00, Encoder2: 275.34
1719544148113,Gyro data ready!Roll: -52.64	Pitch: 1.65,Encoder1: 360.00, Encoder2: 273.32
1719544148154,Roll	-52.64	Pitch	1.65,Encoder1: 360.00, Encoder2: 273.85
1719544148187,Gyro data ready!Roll: -52.86	Pitch: 1.66,Encoder1: 360.00, Encoder2: 276.13
1719544148227,Roll	-52.86	Pitch	1.66,Encoder1: 360.00, Encoder2: 272.44
1719544148260,Gyro data ready!Roll: -53.07	Pitch: 1.67,Encoder1: 360.00, Encoder2: 275.96
1719544148302,Roll	-53.07	Pitch	1.67,Encoder1: 360.00, Encoder2: 274.29
1719544148341,Gyro data ready!Roll: -53.27	Pitch: 1.69,Encoder1: 360.00, Encoder2: 274.20
1719544148375,Roll	-53.27	Pitch	1.69,Encoder1: 360.00, Encoder2: 273.85
1719544148416,Gyro data ready!Roll: -53.47	Pitch: 1.70,Encoder1: 360.00, Encoder2: 275.60
1719544148447,Roll	-53.47	Pitch	1.70,Encoder1: 360.00, Encoder2: 275.43
1719544148488,Gyro data ready!Roll: -53.67	Pitch: 1.69,Encoder1: 360.00, Encoder2: 273.32
1719544148528,Roll	-53.67	Pitch	1.69,Encoder1: 360.00, Encoder2: 273.05
1719544148560,Gyro data ready!Roll: -53.87	Pitch: 1.69,Encoder1: 360.00, Encoder2: 272.88
1719544148601,Roll	-53.87	Pitch	1.69,Encoder1: 360.00, Encoder2: 272.79
1719544148642,Gyro data ready!Roll: -54.07	Pitch: 1.70,Encoder1: 360.00, Encoder2: 274.81
1719544148676,Roll	-54.07	Pitch	1.70,Encoder1: 360.00, Encoder2: 276.57
1719544148717,Gyro data ready!Roll: -54.26	Pitch: 1.71,Encoder1: 360.00, Encoder2: 274.29
1719544148748,Roll	-54.26	Pitch	1.71,Encoder1: 360.00, Encoder2: 272.88
1719544148790,Gyro data ready!Roll: -54.47	Pitch: 1.71,Encoder1: 360.00, Encoder2: 276.22
1719544148823,Roll	-54.47	Pitch	1.71,Encoder1: 360.00, Encoder2: 275.69
1719544148862,Gyro data ready!Roll: -54.67	Pitch: 1.70,Encoder1: 360.00, Encoder2: 277.71
1719544148904,Roll	-54.67	Pitch	1.70,Encoder1: 360.00, Encoder2: 274.90
1719544148943,Gyro data ready!Roll: -54.87	Pitch: 1.71,Encoder1: 360.00, Encoder2: 274.81
1719544148978,Roll	-54.87	Pitch	1.71,Encoder1: 360.00, Encoder2: 274.81
1719544149010,Gyro data ready!Roll: -55.06	Pitch: 1.73,Encoder1: 360.00, Encoder2: 277.10
1719544149052,Roll	-55.06	Pitch	1.73,Encoder1: 360.00, Encoder2: 276.31
1719544149091,Gyro data ready!Roll: -55.27	Pitch: 1.73,Encoder1: 360.00, Encoder2: 276.13
1719544149124,Roll	-55.27	Pitch	1.73,Encoder1: 360.00, Encoder2: 275.69
1719544149165,Gyro data ready!Roll: -55.46	Pitch: 1.74,Encoder1: 360.00, Encoder2: 272.44
1719544149204,Roll	-55.46	Pitch	1.74,Encoder1: 360.00, Encoder2: 278.33
1719544149237,Gyro data ready!Roll: -55.65	Pitch: 1.74,Encoder1: 360.00, Encoder2: 273.93
1719544149277,Roll	-55.65	Pitch	1.74,Encoder1: 360.00, Encoder2: 272.79
1719544149310,Gyro data ready!Roll: -55.84	Pitch: 1.75,Encoder1: 360.00, Encoder2: 273.67
1719544149351,Roll	-55.84	Pitch	1.75,Encoder1: 360.00, Encoder2: 274.37
1719544149385,Gyro data ready!Roll: -56.04	Pitch: 1.75,Encoder1: 360.00, Encoder2: 269.98
1719544149425,Roll	-56.04	Pitch	1.75,Encoder1: 360.00, Encoder2: 269.27
1719544149466,Gyro data ready!Roll: -56.23	Pitch: 1.76,Encoder1: 360.00, Encoder2: 272.09
1719544149498,Roll	-56.23	Pitch	1.76,Encoder1: 360.00, Encoder2: 266.99
1719544149539,Gyro data ready!Roll: -56.42	Pitch: 1.77,Encoder1: 360.00, Encoder2: 267.25
1719544149572,Roll	-56.42	Pitch	1.77,Encoder1: 360.00, Encoder2: 267.34
1719544149613,Gyro data ready!Roll: -56.61	Pitch: 1.78,Encoder1: 360.00, Encoder2: 263.12
1719544149653,Roll	-56.61	Pitch	1.78,Encoder1: 360.00, Encoder2: 262.51
1719544149686,Gyro data ready!Roll: -56.79	Pitch: 1.78,Encoder1: 360.00, Encoder2: 264.53
1719544149726,Roll	-56.79	Pitch	1.78,Encoder1: 360.00, Encoder2: 263.03
1719544149767,Gyro data ready!Roll: -56.98	Pitch: 1.78,Encoder1: 360.00, Encoder2: 257.76
1719544149800,Roll	-56.98	Pitch	1.78,Encoder1: 360.00, Encoder2: 260.22
1719544149840,Gyro data ready!Roll: -57.16	Pitch: 1.79,Encoder1: 360.00, Encoder2: 258.81
1719544149875,Roll	-57.16	Pitch	1.79,Encoder1: 360.00, Encoder2: 254.59
1719544149915,Gyro data ready!Roll: -57.35	Pitch: 1.80,Encoder1: 360.00, Encoder2: 254.59
1719544149949,Roll	-57.35	Pitch	1.80,Encoder1: 360.00, Encoder2: 254.77
1719544149988,Gyro data ready!Roll: -57.54	Pitch: 1.81,Encoder1: 360.00, Encoder2: 246.24
1719544150029,Roll	-57.54	Pitch	1.81,Encoder1: 360.00, Encoder2: 247.65
1719544150062,Gyro data ready!Roll: -57.72	Pitch: 1.82,Encoder1: 360.00, Encoder2: 247.74
1719544150103,Roll	-57.72	Pitch	1.82,Encoder1: 360.00, Encoder2: 239.38
1719544150136,Gyro data ready!Roll: -57.91	Pitch: 1.82,Encoder1: 360.00, Encoder2: 238.07
1719544150177,Roll	-57.91	Pitch	1.82,Encoder1: 360.00, Encoder2: 241.41
1719544150214,Gyro data ready!Roll: -58.08	Pitch: 1.82,Encoder1: 360.00, Encoder2: 240.09
1719544150250,Roll	-58.08	Pitch	1.82,Encoder1: 360.00, Encoder2: 230.68
1719544150291,Gyro data ready!Roll: -58.26	Pitch: 1.82,Encoder1: 360.00, Encoder2: 230.24
1719544150329,Roll	-58.26	Pitch	1.82,Encoder1: 360.00, Encoder2: 233.14
1719544150364,Gyro data ready!Roll: -58.44	Pitch: 1.83,Encoder1: 360.00, Encoder2: 221.98
1719544150397,Roll	-58.44	Pitch	1.83,Encoder1: 360.00, Encoder2: 221.98
1719544150438,Gyro data ready!Roll: -58.63	Pitch: 1.84,Encoder1: 360.00, Encoder2: 220.75
1719544150479,Roll	-58.63	Pitch	1.84,Encoder1: 360.00, Encoder2: 215.82
1719544150515,Gyro data ready!Roll: -58.82	Pitch: 1.85,Encoder1: 360.00, Encoder2: 214.07
1719544150554,Roll	-58.82	Pitch	1.85,Encoder1: 360.00, Encoder2: 213.89
1719544150588,Gyro data ready!Roll: -58.99	Pitch: 1.86,Encoder1: 360.00, Encoder2: 214.42
1719544150630,Roll	-58.99	Pitch	1.86,Encoder1: 360.00, Encoder2: 206.77
1719544150662,Gyro data ready!Roll: -59.16	Pitch: 1.86,Encoder1: 360.00, Encoder2: 208.09
1719544150703,Roll	-59.16	Pitch	1.86,Encoder1: 360.00, Encoder2: 208.35
1719544150737,Gyro data ready!Roll: -59.34	Pitch: 1.86,Encoder1: 360.00, Encoder2: 200.70
1719544150776,Roll	-59.34	Pitch	1.86,Encoder1: 360.00, Encoder2: 202.55
1719544150817,Gyro data ready!Roll: -59.51	Pitch: 1.86,Encoder1: 360.00, Encoder2: 201.14
1719544150849,Roll	-59.51	Pitch	1.86,Encoder1: 360.00, Encoder2: 194.99
1719544150891,Gyro data ready!Roll: -59.68	Pitch: 1.87,Encoder1: 360.00, Encoder2: 194.11
1719544150923,Roll	-59.68	Pitch	1.87,Encoder1: 360.00, Encoder2: 196.84
1719544150963,Gyro data ready!Roll: -59.86	Pitch: 1.88,Encoder1: 360.00, Encoder2: 187.25
1719544151005,Roll	-59.86	Pitch	1.88,Encoder1: 360.00, Encoder2: 188.31
1719544151038,Gyro data ready!Roll: -60.04	Pitch: 1.89,Encoder1: 360.00, Encoder2: 186.81
1719544151079,Roll	-60.04	Pitch	1.89,Encoder1: 360.00, Encoder2: 187.96
1719544151112,Gyro data ready!Roll: -60.21	Pitch: 1.89,Encoder1: 360.00, Encoder2: 177.85
1719544151154,Roll	-60.21	Pitch	1.89,Encoder1: 360.00, Encoder2: 179.43
1719544151187,Gyro data ready!Roll: -60.38	Pitch: 1.90,Encoder1: 360.00, Encoder2: 181.19
1719544151227,Roll	-60.38	Pitch	1.90,Encoder1: 360.00, Encoder2: 171.16
1719544151266,Gyro data ready!Roll: -60.55	Pitch: 1.89,Encoder1: 360.00, Encoder2: 172.22
1719544151302,Roll	-60.55	Pitch	1.89,Encoder1: 360.00, Encoder2: 169.41
1719544151335,Gyro data ready!Roll: -60.71	Pitch: 1.89,Encoder1: 360.00, Encoder2: 162.81
1719544151379,Roll	-60.71	Pitch	1.89,Encoder1: 360.00, Encoder2: 160.53
1719544151410,Gyro data ready!Roll: -60.86	Pitch: 1.87,Encoder1: 360.00, Encoder2: 160.09
1719544151453,Roll	-60.86	Pitch	1.87,Encoder1: 360.00, Encoder2: 163.08
1719544151485,Gyro data ready!Roll: -61.03	Pitch: 1.87,Encoder1: 360.00, Encoder2: 153.58
1719544151527,Roll	-61.03	Pitch	1.87,Encoder1: 360.00, Encoder2: 152.53
1719544151564,Gyro data ready!Roll: -61.21	Pitch: 1.88,Encoder1: 360.00, Encoder2: 152.70
1719544151600,Roll	-61.21	Pitch	1.88,Encoder1: 360.00, Encoder2: 144.62
1719544151641,Gyro data ready!Roll: -61.39	Pitch: 1.88,Encoder1: 360.00, Encoder2: 146.73
1719544151674,Roll	-61.39	Pitch	1.88,Encoder1: 360.00, Encoder2: 144.88
1719544151715,Gyro data ready!Roll: -61.59	Pitch: 1.90,Encoder1: 360.00, Encoder2: 136.62
1719544151748,Roll	-61.59	Pitch	1.90,Encoder1: 360.00, Encoder2: 136.70
1719544151789,Gyro data ready!Roll: -61.77	Pitch: 1.92,Encoder1: 360.00, Encoder2: 138.11
1719544151830,Roll	-61.77	Pitch	1.92,Encoder1: 360.00, Encoder2: 128.53
1719544151864,Gyro data ready!Roll: -61.95	Pitch: 1.95,Encoder1: 360.00, Encoder2: 132.04
1719544151904,Roll	-61.95	Pitch	1.95,Encoder1: 360.00, Encoder2: 129.23
1719544151937,Gyro data ready!Roll: -62.15	Pitch: 1.96,Encoder1: 360.00, Encoder2: 128.09
1719544151979,Roll	-62.15	Pitch	1.96,Encoder1: 360.00, Encoder2: 120.18
1719544152011,Gyro data ready!Roll: -62.33	Pitch: 1.97,Encoder1: 360.00, Encoder2: 120.53
1719544152054,Roll	-62.33	Pitch	1.97,Encoder1: 360.00, Encoder2: 122.90
1719544152092,Gyro data ready!Roll: -62.50	Pitch: 1.98,Encoder1: 360.00, Encoder2: 112.70
1719544152127,Roll	-62.50	Pitch	1.98,Encoder1: 360.00, Encoder2: 112.97
1719544152166,Gyro data ready!Roll: -62.69	Pitch: 1.99,Encoder1: 360.00, Encoder2: 113.58
1719544152199,Roll	-62.69	Pitch	1.99,Encoder1: 360.00, Encoder2: 109.27
1719544152240,Gyro data ready!Roll: -62.89	Pitch: 2.00,Encoder1: 360.00, Encoder2: 109.54
1719544152272,Roll	-62.89	Pitch	2.00,Encoder1: 360.00, Encoder2: 109.54
1719544152313,Gyro data ready!Roll: -63.09	Pitch: 2.02,Encoder1: 360.00, Encoder2: 108.75
